district,code,name,urls,inst
10,141,MS/HS 141 Riverdale/Kings,https://opengovny.com/school/321000011141,800000046252
10,213,BX ENGINEERING AND TECH,https://opengovny.com/school/321000011213,800000057979
7,221,SOUTH BRONX PREP,https://opengovny.com/school/320700011221,800000058074
10,225,THEATRE ARTS PROD COM SCH,https://opengovny.com/school/321000011225,800000059126
9,227,Bronx Collegiate Academy,https://opengovny.com/school/320900011227,800000057984
9,231,EAGLE ACADEMY,https://opengovny.com/school/320900011231,800000058081
10,237,Marie Curie High School,https://opengovny.com/school/321000011237,800000058085
9,241,Urban Assembly Math & Sci,https://opengovny.com/school/320900011241,800000058089
12,242,Mott Hall V,https://opengovny.com/school/321200011242,800000059092
10,243,West Bronx Academy for th,https://opengovny.com/school/321000011243,800000058099
12,248,Metropolitan HS,https://opengovny.com/school/321200011248,800000059087
11,249,BX HEALTH SCIENCES HS,https://opengovny.com/school/321100011249,800000057980
9,250,Eximius College Preparato,https://opengovny.com/school/320900011250,800000059076
12,251,Explorations Academy,https://opengovny.com/school/321200011251,800000059091
9,252,MOTT HALL BRONX  HS,https://opengovny.com/school/320900011252,800000057981
11,253,BX HS FOR WRITING/COMM,https://opengovny.com/school/321100011253,800000077812
7,259,H.E.R.O. High School,https://opengovny.com/school/320700011259,800000059106
9,260,Bronx Ctr for Sci and Math,https://opengovny.com/school/320900011260,800000059128
9,263,Validus Prep Academy: Exp,https://opengovny.com/school/320900011263,800000077822
10,264,Bronx Aca. for Software Engineering,https://opengovny.com/school/321000011264,800000057982
11,265,BRONX LAB SCHOOL,https://opengovny.com/school/321100011265,800000057983
12,267,BRONX LATIN,https://opengovny.com/school/321200011267,800000059085
10,268,Kingbridge International,https://opengovny.com/school/321000011268,800000057986
8,269,BRONX STUDIO SCHOOL,https://opengovny.com/school/320800011269,800000059071
11,270,Acad Scholar and Entrepren,https://opengovny.com/school/321100011270,800000058011
12,271,EAST BRONX ACADEMY,https://opengovny.com/school/321200011271,800000058028
11,275,COMPUTERS AND TECHNOLOGY,https://opengovny.com/school/321100011275,800000058110
8,282,Womens Acad,https://opengovny.com/school/320800011282,800000057985
10,284,BX SCHL OF LAW and FINANCE,https://opengovny.com/school/321000011284,800000058009
11,288,COLLEGIATE INST MTH/SCI,https://opengovny.com/school/321100011288,800000057978
11,290,BX ACADEMY OF HEALTH,https://opengovny.com/school/321100011290,800000058068
8,293,RENAISSANCE,https://opengovny.com/school/320800011293,800000058048
9,297,Morris Academy,https://opengovny.com/school/320900011297,800000057977
11,299,ASTOR COLLEGIATE HS,https://opengovny.com/school/321100011299,800000058047
8,312,MILLENNIUM ART ACADEMY,https://opengovny.com/school/320800011312,800000058105
10,319,Urban Learners Success HS,https://opengovny.com/school/321000011319,800000077814
8,320,Pelham Lab High School,https://opengovny.com/school/320800011320,800000059609
9,324,Bx Early College Academy,https://opengovny.com/school/320900011324,800000059616
9,329,Dreamyard Preparatory,https://opengovny.com/school/320900011329,800000059630
7,334,International Comm. HS,https://opengovny.com/school/320700011334,800000059631
10,342,International School,https://opengovny.com/school/321000011342,800000077815
8,348,Schuylerville Preparatory HS,https://opengovny.com/school/320800011348,800000077816
8,349,Bronx River High School,https://opengovny.com/school/320800011349,800000077820
9,350,New Directions Secondary School,https://opengovny.com/school/320900011350,800000077823
10,351,Bronx Collaborative High School,https://opengovny.com/school/321000011351,800000077824
10,353,World View High School,https://opengovny.com/school/321000011353,800000060383
9,365,Academy for Language,https://opengovny.com/school/320900011365,800000060370
8,367,Archimedes Academy for MST Apps,https://opengovny.com/school/320800011367,800000046209
10,368,MS/HS 368 Info and Net Tech,https://opengovny.com/school/321000011368,800000060390
10,374,KAPPA International High School,https://opengovny.com/school/321000011374,800000060369
8,376,Board School,https://opengovny.com/school/320800011376,800000060399
8,377,Bronx Community H.S.,https://opengovny.com/school/320800011377,800000060401
7,379,Jill Chaifetz Transfer HS,https://opengovny.com/school/320700011379,800000062370
7,381,Bronx Haven High School,https://opengovny.com/school/320700011381,800000062376
12,388,Pan American Internationa,https://opengovny.com/school/321200011388,800000062377
10,397,English Language Learners,https://opengovny.com/school/321000011397,800000045617
9,403,BRONX INTERNATIONAL HS,https://opengovny.com/school/320900011403,800000056059
9,404,School for Excellence,https://opengovny.com/school/320900011404,800000045618
8,405,HERBERT LEHMAN HS,https://opengovny.com/school/320800011405,800000056068
9,412,Bx HS of Business,https://opengovny.com/school/320900011412,800000056069
9,413,Bx HS for Medical Science,https://opengovny.com/school/320900011413,800000056060
11,418,BRONX HS FOR THE VISUAL A,https://opengovny.com/school/321100011418,800000056061
7,427,COMM. HS FOR SOCIAL JUSTI,https://opengovny.com/school/320700011427,800000069143
8,432,Bronx Bridges HS,https://opengovny.com/school/320800011432,800000056062
10,433,HS FOR TEACHING and  PROF,https://opengovny.com/school/321000011433,800000056071
10,434,BELMONT PREPARATORY HIGH,https://opengovny.com/school/321000011434,800000056072
10,437,FORDHAM HS FOR THE ARTS,https://opengovny.com/school/321000011437,800000056073
10,438,FORDHAM LDRSHP ACAD BUS and,https://opengovny.com/school/321000011438,800000056074
10,439,BRONX HS OF LAW and COMM SERVICE,https://opengovny.com/school/321000011439,800000045624
10,440,DEWITT CLINTON HS,https://opengovny.com/school/321000011440,800000057135
10,442,BRONX HIGH SCHOOL OF MUSIC,https://opengovny.com/school/321000011442,800000045625
10,445,BRONX HS OF SCIENCE,https://opengovny.com/school/321000011445,800000069146
12,446,Satellite Academy HS Bronx Regional,https://opengovny.com/school/321200011446,800000056063
8,452,Gotham Collaborative High School,https://opengovny.com/school/320800011452,800000045627
11,455,HARRY S TRUMAN HS,https://opengovny.com/school/321100011455,800000056064
7,473,MOTT HAVEN VILLAGE PREP H,https://opengovny.com/school/320700011473,800000056065
10,477,MARBLE HILL HS FOR INT ST,https://opengovny.com/school/321000011477,800000065477
12,478,The Cinema School,https://opengovny.com/school/321200011478,800000065478
12,479,Bronx Career & College,https://opengovny.com/school/321200011479,800000045659
12,480,BRONX REGIONAL HS,https://opengovny.com/school/321200011480,800000045661
7,495,University Heights HS,https://opengovny.com/school/320700011495,800000045662
7,500,LINCOLN ACADEMY/ HOSTOS,https://opengovny.com/school/320700011500,800000045609
9,505,"BRONX SCH FOR LAW, GOVT,",https://opengovny.com/school/320900011505,800000045609
11,508,11X508,https://opengovny.com/school/321100011508,800000070871
11,509,11X509,https://opengovny.com/school/321100011509,800000070872
12,511,12X511,https://opengovny.com/school/321200011511,800000070875
11,513,NEW WORLD HS,https://opengovny.com/school/321100011513,800000059094
11,514,Bronxwood Prep Academy,https://opengovny.com/school/321100011514,800000059101
9,517,FRED DOUGLAS ACADEMY,https://opengovny.com/school/320900011517,800000058016
12,521,12X521,https://opengovny.com/school/321200011521,800000070893
7,522,07X522,https://opengovny.com/school/320700011522,800000070866
10,524,10X524,https://opengovny.com/school/321000011524,800000070868
9,525,BRONX LEADERSHIP ACADEMY,https://opengovny.com/school/320900011525,800000045630
7,527,Bx Leadership Acad II HS,https://opengovny.com/school/320700011527,800000056066
8,530,Longwood Preparatory Academy,https://opengovny.com/school/320800011530,800000045631
8,537,08X537,https://opengovny.com/school/320800011537,800000070867
11,542,PELHAM PREP. H.S.,https://opengovny.com/school/321100011542,800000057138
9,543,HS for Violin & Dance,https://opengovny.com/school/320900011543,800000057139
11,544,H.S. FOR CONTEMPORARY ART,https://opengovny.com/school/321100011544,800000057140
11,545,BRONX AEROSPACE H.S.,https://opengovny.com/school/321100011545,800000057141
10,546,BRONX THEATER H.S.,https://opengovny.com/school/321000011546,800000057143
